code,abbreviation,element,time_period,element_name,description,element_scale,units,symbol
52,TOPFGL,frozenground,daily,Frozen Ground Tp,Frozen ground layer; depth of the top,1.0,Centimeters,wi-snowflake-cold
53,BOTFGL,frozenground,daily,Frzen Ground Bt,Frozen ground layer; Depth of the bottom,1.0,Centimeters,wi-snowflake-cold
54,THKFGL,frozenground,daily,Frozen Ground Th,Frozen ground layer; thickness,1.0,Centimeters,wi-snowflake-cold
302,HEIGHT,height,monthly,Height of press level,Height of pressure level,1.0,,wi-barometer
55,ICE,icethickness,daily,Ice Thickness,Ice on water; thickness,0.1,Millimeters,wi-snowflake-cold
46,INSOL,insolation,daily,Insolation total,Insolation;  total on a horizontal surface over the period,0.1,Megajoules/M**2,wi-day-sunny
92,24hWB,insolation,daily,Insolation Afternoon,Sunshine; PM,0.1,Hour,wi-day-sunny
93,PSTWX,insolation,daily,Insolation Morning,Sunshine Hour; AM,0.1,hour,wi-day-sunny
172,MIXRAT,mixratio,hourly,Mixing ratio,Mixing ratio,1.0,Grams/KG,wi-na
351,R-A,mixratio,,Rapport melange,Rapport melange,0.1,Grammes/KG,wi-na
5,PRECIP,precip,daily,Precip; daily,Precipitation; daily total,0.1,Millimeters,wi-rain
6,PRMX5,precip,daily,PRCP; max 5 min,Precip; greatest amount in 5 minutes,0.1,Millimeters,wi-rain
7,PRMX10,precip,daily,PRCP; max 10 min,Precip; greatest amount in 10 minutes,0.1,Millimeters,wi-rain
8,PRMX15,precip,daily,PRCP; max 15 min,Precip; greatest amount in 15 minutes,0.1,Millimeters,wi-rain
9,PRMX30,precip,daily,PRCP; max 30 min,Precip; greatest amount in 30 minutes,0.1,Millimeters,wi-rain
10,PRMX60,precip,daily,PRCP; max 60 min,Precip; greatest amount in 60 minutes,0.1,Millimeters,wi-rain
11,PRMX2H,precip,daily,PRCP; max 2 hour,Precip; greatest amount in 2 hours,0.1,Millimeters,wi-rain
95,PrInTi,precip,daily,Preciptation; duration; 6 - 18,Precipitation; duration; 6-18H,0.1,Hours,wi-rain
96,JardIn,precip,daily,Precipiation; total; 18-6,Precipiation; total; 18-6H,0.1,mm,wi-rain
97,DifRad,precip,daily,Precipiation; total; 6-18,Precip; total 6-18H,0.1,mm,wi-rain
104,PRECIP,precip,hourly,totalPrecipitation,Total amount of precipitation measured over a defined period.,0.1,Millimeters,wi-rain
504,PRECIPDR,precip,,durationPrecipitation,Duration of precipitiation during the defined period,0.1,Hours,wi-rain
892,AWSPRECIP,precip,aws,AWS;Precip Cum,AWS; Precipitation Cumulative,0.1,Millimetres,wi-rain
47,PRESST,pres,daily,Press; stn avg,Pressure; station; daily average,0.1,Hectopascals,wi-barometer
48,PRESSL,pres,daily,Press;sea lv;avg,Pressure; reduced to sea level; daily average,0.1,Hectopascals,wi-barometer
91,24hVPD,pres,daily,24hour VPD,Mean Vapour Pressure Deficit over 24 hours,0.1,Hectopascals,wi-barometer
106,PRESST,pres,hourly,Pressure; stn,Pressure at station level,0.1,Hectopascals,wi-barometer
107,PRESSL,pres,hourly,Pressure; sea lv,Pressure reduced to Mean Sea Level,0.1,Hectopascals,wi-barometer
108,ALTMTR,pres,hourly,Altimeter Settng,Altimeter setting,0.1,Millibars,wi-barometer
185,PREGPM,pres,hourly,Pressure,GPM,,,wi-barometer
186,PREQNH,pres,hourly,Pressure,QNH,,,wi-barometer
301,PRESS,pres,monthly,Pressure level,Pressure level,1.0,Hectopascals,wi-barometer
399,PRESSTEND,pres,hourly,PressTend; 24hly,Pressure Tendancy; 24 hly,0.1,Hectopascals,wi-barometer
400,3HRPRESSTEND,pres,hourly,PressTend; 3hly,Pressure Tendancy; 3hly,0.1,Hectopascals,wi-barometer
852,VPDHly,pres,hourly,VapPressDeficit,Hourly Vapour Pressure Deficit,0.1,Hectopascals,wi-barometer
884,AWSBARO,pres,aws,AWS; Baro Press,AWS; Barometric Pressure,0.1,Millibars,wi-barometer
889,AWSQFE,pres,aws,AWS; Station Press,AWS; Station Level Pressure,0.1,Millibars,wi-barometer
890,AWSQFF,pres,aws,AWS; Actual Sea Lev Press,AWS; Actual Sea Level Pressure,0.1,Millibars,wi-barometer
891,AWSQNH,pres,aws,AWS; Stand Sea Lev Press,AWS; Standard Sea Level Pressure,0.1,Millibars,wi-barometer
133,RADGLS,radiation,hourly,Radiation;global,Radiation; global solar,0.1,Megajoules/M**2,wi-day-sunny
134,RADSKY,radiation,hourly,Radiation; sky,Radiation; sky,0.1,Megajoules/M**2,wi-day-sunny
135,RADRES,radiation,hourly,Radiation; reflc,Radiation; reflected solar,0.1,Megajoules/M**2,wi-day-sunny
136,RADNAW,radiation,hourly,Radiation; al wv,Radiation; net all wave,0.1,Megajoules/M**2,wi-day-sunny
137,RADDWN,radiation,hourly,Radiation; down,Radiation; total downward,0.0,Megajoules/M**2,wi-day-sunny
138,RADUP,radiation,hourly,Radiation; up,Radiation; total upward,0.1,Megajoules/M**2,wi-day-sunny
139,RADDSL,radiation,hourly,Radiation;direct,Radiation; direct solar,0.1,Megajoules/M**2,wi-day-sunny
894,AWSSOLRAD,radiation,aws,AWS; Sol Rad,AWS; Solar Radiation,0.1,Megajoules/M**2,wi-day-sunny
15,RHMAX,relh,daily,Relative Humidity; daily max,Relative humidity; daily maximum,1.0,Percent,wi-humidity
16,RHMIN,relh,daily,Relative Humidity; daily min,Relative humidity; daily minimum,1.0,Percent,wi-humidity
17,RHMEAN,relh,daily,Relative Humidity; daily mean,Relative humidity; daily mean,1.0,Percent,wi-humidity
105,RELHUM,relh,hourly,Relative Humidity,Relative humidity,1.0,Percent,wi-humidity
893,AWSRH,relh,aws,AWS; RH,AWS; Relative Humidity,0.1,Percentage,wi-humidity
43,SKYSUN,sky_cover,daily,Sky Cover;avg SS,Sky cover; average daily sunrise to sunset,1.0,Tenths,wi-sunrise
44,SKYMID,sky_cover,daily,Sky cover;avg md,Sky cover; daily average midnight to midnight,1.0,Tenths,wi-moonrise
49,SNOW,snowdepth,daily,Snowfall,Depth of new snow lying,1.0,Centimeters,wi-snowflake-cold
50,SNWDEP,snowdepth,daily,totalSnowDepth,Depth of lying snow,1.0,Centimeters,wi-snowflake-cold
51,SNWWEQ,snowdepth,daily,snowDepthWaterEquivalent,Depth of lying snow expressed as measure of equivalent depth of water.,0.1,Millimeters,wi-snowflake-cold
541,SOILMST005,soilrelh,daily,Soil; moisture daily005,Soil; Moisture daily at 5 cm,0.1,Millimeters,wi-raindrops
542,SOILMST100,soilrelh,daily,Soil; moisture daily100,Soil; Moisture daily at 100 cm,0.1,Millimeters,wi-raindrops
543,SOILMST010,soilrelh,daily,Soil; moisture daily 010,Soil; Moisture daily at 10 cm,0.1,Percent,wi-raindrops
544,SOILMST020,soilrelh,daily,Soil; moisture daily 020,Soil; Moisture daily at 20 cm,0.1,Percent,wi-raindrops
545,SOILMST030,soilrelh,daily,Soil; moisture daily 030,Soil; Moisture daily at 30 cm,0.1,Percent,wi-raindrops
546,SOILMST040,soilrelh,daily,Soil; moisture daily 040,Soil; Moisture daily at 40 cm,0.1,Percent,wi-raindrops
549,SOILMST050,soilrelh,daily,Soil; moisture daily 050,Soil; Moisture daily at 50 cm,0.1,Percent,wi-raindrops
550,SOILMST060,soilrelh,daily,Soil; moisture daily 060,Soil; Moisture daily at 60 cm,0.1,Percent,wi-raindrops
62,SOILX1,soiltemp,daily,Temp; soil05 max,Temperature; soil; daily maximum at 5 cm,0.1,Degrees C,wi-thermometer
63,SOILN1,soiltemp,daily,Temp; soil05 min,Temperature; soil; daily minimum at 5 cm,0.1,Degrees C,wi-thermometer
64,SOILX2,soiltemp,daily,Temp; soil10 max,Temperature; soil; daily maximum at 10 cm,0.1,Degrees C,wi-thermometer
65,SOILN2,soiltemp,daily,Temp; soil10 min,Temperature; soil; daily minimum at 10 cm,0.1,Degrees C,wi-thermometer
66,SOILX3,soiltemp,daily,Temp; soil20 max,Temperature; soil; daily maximum at 20 cm,0.1,Degrees C,wi-thermometer
67,SOILN3,soiltemp,daily,Temp; soil20 min,Temperature; soil; daily minimum at 20 cm,0.1,Degrees C,wi-thermometer
68,SOILX4,soiltemp,daily,Temp; soil50 max,Temperature; soil; daily maximum at 50 cm,0.1,Degrees C,wi-thermometer
69,SOILN4,soiltemp,daily,Temp; soil50 min,Temperature; soil; daily minimum at 50 cm,0.1,Degrees C,wi-thermometer
70,SOILX5,soiltemp,daily,Temp; soil1M max,Temperature; soil; daily maximum at 100 cm,0.1,Degrees C,wi-thermometer
